H      V          Delta_V    Delta_Vt1  Delta_Vt2  Delta_VtT  Delta_VTOT
0      7.3537e+03 1.3032e+02 0.0000e+00 0.0000e+00 0.0000e+00 1.3032e+02 
100000 7.8484e+03 3.3377e+03 1.3034e+03 9.3568e+02 2.2391e+03 5.5768e+03 
120000 7.8363e+03 3.3498e+03 1.2969e+03 9.3803e+02 2.2349e+03 5.5847e+03 
140000 7.8243e+03 3.3618e+03 1.2904e+03 9.4037e+02 2.2307e+03 5.5926e+03 
160000 7.8123e+03 3.3738e+03 1.2839e+03 9.4271e+02 2.2266e+03 5.6004e+03 
180000 7.8004e+03 3.3858e+03 1.2775e+03 9.4505e+02 2.2225e+03 5.6083e+03 
200000 7.7885e+03 3.3976e+03 1.2711e+03 9.4738e+02 2.2184e+03 5.6161e+03 
220000 7.7767e+03 3.4095e+03 1.2647e+03 9.4970e+02 2.2144e+03 5.6238e+03 
240000 7.7649e+03 3.4212e+03 1.2583e+03 9.5202e+02 2.2103e+03 5.6316e+03 
260000 7.7532e+03 3.4330e+03 1.2520e+03 9.5434e+02 2.2063e+03 5.6393e+03 
280000 7.7415e+03 3.4446e+03 1.2457e+03 9.5665e+02 2.2023e+03 5.6470e+03 
300000 7.7299e+03 3.4562e+03 1.2394e+03 9.5895e+02 2.1984e+03 5.6546e+03 
320000 7.7183e+03 3.4678e+03 1.2332e+03 9.6125e+02 2.1944e+03 5.6623e+03 
340000 7.7068e+03 3.4793e+03 1.2270e+03 9.6354e+02 2.1905e+03 5.6698e+03 
360000 7.6954e+03 3.4908e+03 1.2208e+03 9.6583e+02 2.1866e+03 5.6774e+03 
380000 7.6840e+03 3.5022e+03 1.2147e+03 9.6812e+02 2.1828e+03 5.6849e+03 
400000 7.6726e+03 3.5135e+03 1.2085e+03 9.7039e+02 2.1789e+03 5.6925e+03 
420000 7.6613e+03 3.5248e+03 1.2024e+03 9.7267e+02 2.1751e+03 5.6999e+03 
440000 7.6500e+03 3.5361e+03 1.1963e+03 9.7494e+02 2.1713e+03 5.7074e+03 
460000 7.6388e+03 3.5473e+03 1.1903e+03 9.7720e+02 2.1675e+03 5.7148e+03 
480000 7.6277e+03 3.5585e+03 1.1843e+03 9.7946e+02 2.1637e+03 5.7222e+03 
500000 7.6166e+03 3.5696e+03 1.1783e+03 9.8171e+02 2.1600e+03 5.7296e+03 
520000 7.6055e+03 3.5806e+03 1.1723e+03 9.8396e+02 2.1563e+03 5.7369e+03 
540000 7.5945e+03 3.5916e+03 1.1664e+03 9.8620e+02 2.1526e+03 5.7442e+03 
560000 7.5835e+03 3.6026e+03 1.1605e+03 9.8844e+02 2.1489e+03 5.7515e+03 
580000 7.5726e+03 3.6135e+03 1.1546e+03 9.9068e+02 2.1452e+03 5.7588e+03 
600000 7.5617e+03 3.6244e+03 1.1487e+03 9.9290e+02 2.1416e+03 5.7660e+03 
